STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
AR,CONWAY,AUSTIN,24,79
AR,CONWAY,BENTLEY CITY,30,98
AR,CONWAY,BENTLEY RURAL,19,88
AR,CONWAY,BIRD,34,148
AR,CONWAY,CATHOLIC POINT,26,79
AR,CONWAY,CEDAR FALLS,39,63
AR,CONWAY,GREGORY,37,87
AR,CONWAY,GRIFFIN,34,121
AR,CONWAY,HIGGINS,3,13
AR,CONWAY,HOWARD CITY,69,105
AR,CONWAY,HOWARD RURAL,42,60
AR,CONWAY,LICK MTN.,37,138
AR,CONWAY,MARTIN,4,25
AR,CONWAY,MCCLAREN,17,52
AR,CONWAY,MENIFEE CITY,86,4
AR,CONWAY,MENIFEE RURAL,20,22
AR,CONWAY,NICHOLS,36,117
AR,CONWAY,OLD HICKORY,13,49
AR,CONWAY,PETIT JEAN,13,27
AR,CONWAY,ST. VINCENT,48,112
AR,CONWAY,STEELE,16,104
AR,CONWAY,UNION,65,156
AR,CONWAY,WARD 1,65,99
AR,CONWAY,WARD 2,48,75
AR,CONWAY,WARD 3,84,109
AR,CONWAY,WARD 4,57,129
AR,CONWAY,WASHINGTON EAST,69,177
AR,CONWAY,WASHINGTON WEST,38,97
AR,CONWAY,WELBOURNE EAST,51,188
AR,CONWAY,WELBOURNE WEST,39,95
AR,CONWAY,WHITE EAGLE,2,13
AR,FAULKNER,01 4A,85,100
AR,FAULKNER,02 4B,58,45
AR,FAULKNER,03 4E,120,151
AR,FAULKNER,04 4D,118,57
AR,FAULKNER,05 4F,42,107
AR,FAULKNER,06 2B,92,64
AR,FAULKNER,07 2A,377,173
AR,FAULKNER,08 3B,26,48
AR,FAULKNER,09 3C-E,99,97
AR,FAULKNER,10 3A,106,116
AR,FAULKNER,11 4C,140,119
AR,FAULKNER,12 ECADA,108,355
AR,FAULKNER,13 ECADB,187,291
AR,FAULKNER,14 WCAD,9,26
AR,FAULKNER,15 BENEDICT,6,39
AR,FAULKNER,16 BENTON,27,173
AR,FAULKNER,17 BRISTOL,27,55
AR,FAULKNER,18 CA,64,318
AR,FAULKNER,19 CLIFTON,84,300
AR,FAULKNER,21 VCITY,33,194
AR,FAULKNER,22 CYPRESSR,35,150
AR,FAULKNER,23 DANLEYR,36,75
AR,FAULKNER,24 DANLEYC,41,61
AR,FAULKNER,25 EAGLE,45,183
AR,FAULKNER,26 EFORK,60,219
AR,FAULKNER,27 ENOLA,21,180
AR,FAULKNER,28 HARDINR,26,109
AR,FAULKNER,29 HARDINCE,33,165
AR,FAULKNER,30 HARVE,24,167
AR,FAULKNER,31 MATTHEWS,37,160
AR,FAULKNER,32 MOUNTAIN,16,85
AR,FAULKNER,33 MT VERNON,46,115
AR,FAULKNER,34 NEWTON,31,122
AR,FAULKNER,35 WILSON,50,215
AR,FAULKNER,36 PINEMTN,173,201
AR,FAULKNER,37 UNION,40,244
AR,FAULKNER,38 WALKER,39,166
AR,FAULKNER,39 PALARM,86,365
AR,FAULKNER,41 1C-N,73,37
AR,FAULKNER,42 1C-S,105,123
AR,FAULKNER,43 1E-E,98,119
AR,FAULKNER,44 1E-W,71,130
AR,FAULKNER,45 3E,41,45
AR,FAULKNER,46 3C-W,51,76
AR,FAULKNER,48 ECADC,65,130
AR,FAULKNER,49 2C,87,97
AR,FAULKNER,50 3D,81,142
AR,FAULKNER,53 3F,40,69
AR,FAULKNER,54 3G,47,46
AR,FAULKNER,55 HARDINCW,24,95
AR,PERRY,01-APLIN,12,68
AR,PERRY,02-CASA,32,123
AR,PERRY,03-CHERRY HILL,14,48
AR,PERRY,04-FOURCHE,40,124
AR,PERRY,05-HOUSTON,48,106
AR,PERRY,06-KENNEY,4,41
AR,PERRY,07-LAKE,27,100
AR,PERRY,08-MAUMELLE,21,81
AR,PERRY,09-NEW TENNESSEE,14,40
AR,PERRY,10-PERRY,52,195
AR,PERRY,11-PETIT JEAN,21,73
AR,PERRY,12-RANKIN,61,133
AR,PERRY,13-ROSE CREEK,22,43
AR,PERRY,14-TYLER,25,62
AR,PERRY,15-UNION,72,171
