,STATE,COUNTY,PRECINCT,DEM,REP
0,MN,1,5,0,0
1,MN,1,10,162,253
2,MN,1,15,0,0
3,MN,1,20,12,8
4,MN,1,25,27,5
5,MN,1,30,0,0
6,MN,1,35,9,7
7,MN,1,38,12,10
8,MN,1,40,269,304
9,MN,1,45,68,87
10,MN,1,50,142,117
11,MN,1,55,49,35
12,MN,1,60,200,193
13,MN,1,65,113,70
14,MN,1,70,95,54
15,MN,1,75,41,41
16,MN,1,80,0,0
17,MN,1,82,7,4
18,MN,1,85,55,46
19,MN,1,90,100,123
20,MN,1,95,0,0
21,MN,1,100,0,0
22,MN,1,105,7,3
23,MN,1,110,50,36
24,MN,1,115,11,11
25,MN,1,120,59,20
26,MN,1,125,0,0
27,MN,1,130,41,30
28,MN,1,132,0,0
29,MN,1,135,92,64
30,MN,1,140,30,39
31,MN,1,145,283,266
32,MN,1,150,36,24
33,MN,1,155,9,20
34,MN,1,160,26,31
35,MN,1,165,28,18
36,MN,1,170,12,16
37,MN,1,175,0,0
38,MN,1,180,25,23
39,MN,1,185,120,137
40,MN,1,190,0,0
41,MN,1,195,45,40
42,MN,1,200,11,14
43,MN,1,205,68,83
44,MN,1,210,0,0
45,MN,1,215,95,74
46,MN,1,220,0,0
47,MN,1,225,21,27
48,MN,1,230,41,37
49,MN,1,240,0,0
50,MN,1,255,9,3
51,MN,1,260,38,21
52,MN,1,285,0,0
53,MN,1,290,0,0
54,MN,2,5,473,806
55,MN,2,10,451,766
56,MN,2,15,558,818
57,MN,2,20,437,569
58,MN,2,25,528,839
59,MN,2,30,378,636
60,MN,2,35,308,547
61,MN,2,40,404,664
62,MN,2,45,0,0
63,MN,2,50,0,0
64,MN,2,105,250,217
65,MN,2,110,340,343
66,MN,2,115,303,374
67,MN,2,120,410,315
68,MN,2,125,298,279
69,MN,2,130,346,232
70,MN,2,135,302,334
71,MN,2,140,309,379
72,MN,2,205,45,83
73,MN,2,305,0,0
74,MN,2,310,469,357
75,MN,2,315,354,288
76,MN,2,320,272,232
77,MN,2,325,442,529
78,MN,2,330,256,352
79,MN,2,335,285,320
80,MN,2,340,352,355
81,MN,2,405,398,308
82,MN,2,410,308,311
83,MN,2,415,400,342
84,MN,2,420,418,298
85,MN,2,425,395,422
86,MN,2,430,365,491
87,MN,2,435,260,437
88,MN,2,440,471,854
89,MN,2,505,404,334
90,MN,2,510,432,405
91,MN,2,515,352,375
92,MN,2,520,457,543
93,MN,2,525,366,393
94,MN,2,530,584,726
95,MN,2,535,598,649
96,MN,2,540,0,0
97,MN,2,605,600,801
98,MN,2,705,335,338
99,MN,2,710,0,0
100,MN,2,805,0,0
101,MN,2,810,0,0
102,MN,2,815,521,203
103,MN,2,820,444,229
104,MN,2,825,0,0
105,MN,2,830,433,303
106,MN,2,835,491,241
107,MN,2,840,437,219
108,MN,2,905,689,1014
109,MN,2,1005,692,806
110,MN,2,1010,566,765
111,MN,2,1015,478,561
112,MN,2,1020,284,314
113,MN,2,1105,510,560
114,MN,2,1110,305,378
115,MN,2,1115,0,0
116,MN,2,1120,348,332
117,MN,2,1125,0,0
118,MN,2,1205,0,0
119,MN,2,1210,437,403
120,MN,2,1215,0,0
121,MN,2,1220,409,334
122,MN,2,1305,463,468
123,MN,2,1310,455,466
124,MN,2,1315,468,393
125,MN,2,1320,680,632
126,MN,2,1405,499,433
127,MN,2,1410,525,509
128,MN,2,1415,303,268
129,MN,2,1420,208,179
130,MN,2,1425,484,418
131,MN,2,1505,447,752
132,MN,2,1510,513,749
133,MN,2,1515,0,0
134,MN,2,1605,0,0
135,MN,2,1610,0,0
136,MN,2,1615,454,253
137,MN,2,1620,0,0
138,MN,2,1705,319,218
139,MN,2,1710,303,179
140,MN,2,1715,0,0
141,MN,2,1720,534,344
142,MN,2,1805,382,252
143,MN,2,1810,571,418
144,MN,2,1815,259,142
145,MN,2,1820,332,190
146,MN,2,1905,0,0
147,MN,2,1910,458,802
148,MN,2,1915,366,685
149,MN,2,1920,0,0
150,MN,2,1925,279,578
151,MN,2,1930,0,0
152,MN,2,2005,99,33
153,MN,2,2105,297,241
154,MN,2,2205,332,420
155,MN,2,2210,0,0
156,MN,2,2215,421,482
157,MN,2,2220,551,892
158,MN,2,2225,331,463
159,MN,2,2230,380,743
160,MN,2,2235,542,813
161,MN,2,2305,0,0
162,MN,2,2405,0,0
163,MN,2,2410,206,434
164,MN,2,2505,341,559
165,MN,2,2510,273,574
166,MN,2,2515,275,563
167,MN,2,2520,203,321
168,MN,2,2605,641,941
169,MN,2,2610,211,296
170,MN,2,2705,309,615
171,MN,2,2710,557,822
172,MN,2,2805,486,662
173,MN,2,2810,229,297
174,MN,2,2905,405,497
175,MN,2,2910,404,575
